0,0,A,3,0,965
0,1,C,5,0,1054
0,2,C,0,0,830
0,3,C,2,0,846
0,4,A,0,0,641
0,5,A,5,0,626
0,6,A,4,0,533
0,7,A,2,0,554
0,8,C,4,0,807
0,9,C,3,0,614
0,10,C,0,0,550
0,11,A,5,0,563
0,12,A,1,0,541
0,13,C,4,0,637
0,14,A,3,0,569
0,15,C,1,0,511
0,16,A,2,1,1178
0,17,A,3,0,766
0,18,C,4,0,986
0,19,C,3,0,659
1,0,N,3,0,844
1,1,P,0,1,841
1,2,P,3,0,999
1,3,P,0,0,723
1,4,N,1,1,1118
1,5,N,3,0,56
1,6,N,0,0,1028
1,7,N,4,0,803
1,8,P,0,0,676
1,9,N,5,0,722
1,10,P,2,0,1214
1,11,N,0,0,746
1,12,P,1,0,1054
1,13,N,3,0,570
1,14,P,1,1,1362
1,15,N,5,0,1318
1,16,P,4,0,597
1,17,N,1,0,795
1,18,N,5,0,826
1,19,N,2,0,784
2,0,C,1,0,6156
2,1,P,6,1,1710
2,2,C,5,0,1863
2,3,P,5,0,1409
2,4,A,2,0,957
2,5,N,2,0,920
2,6,A,1,0,669
2,7,N,0,0,1902
2,8,A,3,0,2430
2,9,P,5,0,1275
2,10,A,4,0,625
2,11,P,6,0,1311
2,12,C,1,0,2617
2,13,N,1,0,782
2,14,A,0,0,623
2,15,P,0,0,678
2,16,C,4,0,728
2,17,N,1,0,844
2,18,A,1,0,822
2,19,P,5,0,1869
2,20,C,3,0,892
2,21,P,2,0,776
2,22,A,2,1,1024
2,23,N,4,0,908
2,24,A,4,0,1054
2,25,P,0,0,916
2,26,C,1,0,1157
2,27,P,5,1,1419
2,28,A,2,0,767
2,29,P,2,0,917
2,30,C,5,0,859
2,31,P,4,0,924
2,32,C,0,1,1591
2,33,P,3,0,1393
2,34,A,3,0,782
2,35,N,2,0,803
2,36,A,5,0,595
2,37,N,0,0,1074
2,38,A,0,0,718
2,39,P,3,0,929
3,0,A,0,0,1107
3,1,N,4,0,3242
3,2,A,2,0,877
3,3,N,5,0,862
3,4,A,4,0,737
3,5,N,1,0,1290
3,6,A,1,0,998
3,7,N,0,0,2857
3,8,C,4,0,1282
3,9,N,2,0,1484
3,10,A,5,0,1179
3,11,P,0,0,1109
3,12,A,4,0,47
3,13,N,4,0,2787
3,14,C,3,0,2384
3,15,P,1,0,1280
3,16,A,0,0,964
3,17,P,3,0,826
3,18,C,5,0,674
3,19,P,1,0,934
3,20,C,2,1,2217
3,21,N,5,0,75
3,22,C,3,0,3005
3,23,P,2,0,732
3,24,A,2,0,625
3,25,P,0,0,970
3,26,C,1,0,699
3,27,P,5,1,774
3,28,A,2,0,1543
3,29,N,2,1,1655
3,30,C,1,0,971
3,31,P,4,1,3468
3,32,C,4,0,2117
3,33,P,5,0,3043
3,34,A,3,0,74
3,35,N,6,0,1976
3,36,C,1,0,1611
3,37,P,1,0,2641
3,38,A,0,1,2061
3,39,N,3,0,1066
4,0,A,1,0,1218
4,1,A,3,0,688
4,2,C,5,0,582
4,3,C,0,0,648
4,4,A,1,0,491
4,5,A,5,0,609
4,6,A,2,0,600
4,7,C,4,0,594
4,8,C,1,0,578
4,9,A,4,0,552
4,10,A,0,0,996
4,11,C,4,1,829
4,12,A,3,0,458
4,13,A,0,0,425
4,14,A,2,0,374
4,15,C,3,1,805
4,16,C,0,1,775
4,17,C,4,0,793
4,18,C,5,0,1154
4,19,A,1,0,1698
5,0,C,2,0,1884
5,1,P,6,0,733
5,2,C,3,0,784
5,3,P,3,0,486
5,4,A,2,0,1189
5,5,P,2,1,1393
5,6,A,3,0,740
5,7,P,3,0,813
5,8,A,5,0,597
5,9,P,2,0,771
5,10,C,4,0,904
5,11,N,5,0,801
5,12,C,3,0,1564
5,13,P,3,0,693
5,14,A,4,0,568
5,15,P,5,0,677
5,16,A,2,0,648
5,17,P,6,1,1380
5,18,A,0,1,1156
5,19,P,1,0,1059
5,20,A,1,0,923
5,21,P,4,0,586
5,22,A,5,0,519
5,23,N,5,0,1143
5,24,A,0,0,518
5,25,P,3,0,597
5,26,A,3,0,668
5,27,N,2,0,1424
5,28,C,2,1,1712
5,29,N,5,0,858
5,30,A,3,0,774
5,31,N,4,0,720
5,32,A,0,0,725
5,33,P,2,0,619
5,34,A,1,0,950
5,35,P,3,0,517
5,36,C,4,0,659
5,37,P,2,0,621
5,38,A,1,0,575
5,39,N,3,0,563
6,0,C,5,0,703
6,1,P,4,0,874
6,2,A,3,0,507
6,3,P,3,0,549
6,4,C,2,1,1007
6,5,N,0,0,613
6,6,A,3,0,798
6,7,P,6,1,993
6,8,C,1,0,553
6,9,N,5,0,572
6,10,C,0,1,1143
6,11,P,0,0,773
6,12,C,2,1,924
6,13,N,5,0,667
6,14,A,4,0,1046
6,15,N,1,0,871
6,16,C,1,0,767
6,17,P,4,0,648
6,18,C,5,0,880
6,19,P,0,0,656
6,20,A,0,0,699
6,21,N,3,0,905
6,22,A,3,0,627
6,23,N,4,1,997
6,24,C,5,1,896
6,25,N,0,0,1166
6,26,C,4,0,1331
6,27,N,3,1,1165
6,28,A,2,0,592
6,29,N,0,0,1253
6,30,A,3,0,734
6,31,N,4,0,898
6,32,A,2,0,879
6,33,P,5,0,989
6,34,A,4,0,674
6,35,N,1,0,654
6,36,A,5,0,773
6,37,N,5,0,1767
6,38,A,0,0,669
6,39,P,2,0,615
