0,0,C,5,0,1416
0,1,A,2,0,624
0,2,A,4,1,1351
0,3,C,5,0,655
0,4,C,1,0,863
0,5,A,5,0,519
0,6,C,1,0,567
0,7,A,3,0,472
0,8,C,2,0,649
0,9,A,4,0,527
0,10,C,2,0,479
0,11,C,1,0,577
0,12,C,3,1,943
0,13,A,4,0,560
0,14,A,1,0,464
0,15,A,4,0,584
0,16,A,1,0,800
0,17,A,5,0,680
0,18,A,4,0,904
0,19,C,3,0,688
1,0,P,2,0,1535
1,1,N,5,0,648
1,2,P,2,0,480
1,3,N,4,0,392
1,4,N,1,0,672
1,5,P,0,0,455
1,6,N,4,0,648
1,7,P,5,0,712
1,8,P,6,1,1744
1,9,N,0,0,1088
1,10,P,4,0,648
1,11,N,1,0,984
1,12,P,2,0,584
1,13,N,5,0,448
1,14,N,4,1,832
1,15,P,0,0,608
1,16,P,3,0,608
1,17,P,4,0,680
1,18,N,6,0,800
1,19,N,5,0,848
2,0,C,4,0,2512
2,1,N,2,0,984
2,2,A,1,0,696
2,3,P,6,0,1440
2,4,C,5,0,696
2,5,P,2,0,1216
2,6,A,2,0,520
2,7,N,4,0,680
2,8,A,4,0,560
2,9,P,2,1,1264
2,10,C,5,0,576
2,11,P,3,0,640
2,12,A,0,0,624
2,13,P,4,0,688
2,14,C,4,0,696
2,15,P,2,0,600
2,16,A,5,0,552
2,17,P,6,1,1015
2,18,A,0,0,624
2,19,P,3,0,680
2,20,A,3,0,640
2,21,P,4,0,553
2,22,A,5,0,639
2,23,P,2,0,488
2,24,A,4,0,472
2,25,N,0,0,664
2,26,C,1,0,600
2,27,P,5,0,864
2,28,A,3,0,496
2,29,N,2,0,808
2,30,A,0,1,2616
2,31,N,5,0,807
2,32,C,3,0,648
2,33,N,4,0,632
2,34,A,5,0,648
2,35,N,2,1,1815
2,36,A,4,0,600
2,37,P,4,0,728
2,38,A,1,0,632
2,39,P,1,0,584
3,0,C,0,0,960
3,1,P,4,0,808
3,2,A,4,0,528
3,3,P,5,0,632
3,4,C,1,0,536
3,5,N,3,0,496
3,6,C,3,0,680
3,7,N,4,0,440
3,8,A,5,0,504
3,9,P,6,0,656
3,10,A,1,0,992
3,11,N,2,1,1592
3,12,C,5,0,552
3,13,N,3,1,1688
3,14,A,1,0,848
3,15,P,1,0,784
3,16,A,0,0,568
3,17,N,4,0,576
3,18,C,4,0,648
3,19,N,2,0,960
3,20,C,5,0,704
3,21,P,0,0,592
3,22,A,1,0,496
3,23,N,1,0,680
3,24,A,0,0,616
3,25,N,4,0,624
3,26,C,4,0,936
3,27,N,1,0,632
3,28,C,3,0,504
3,29,P,3,0,624
3,30,A,2,0,480
3,31,P,5,0,752
3,32,A,4,0,432
3,33,N,2,1,1592
3,34,A,0,0,624
3,35,P,5,0,640
3,36,A,2,0,568
3,37,P,2,0,504
3,38,A,5,0,952
3,39,N,0,0,880
4,0,C,4,0,712
4,1,C,2,0,672
4,2,A,3,0,520
4,3,C,5,0,584
4,4,A,3,0,472
4,5,C,2,0,447
4,6,A,4,0,584
4,7,C,2,0,543
4,8,C,0,2,1823
4,9,C,4,0,640
4,10,A,2,0,568
4,11,A,0,1,816
4,12,C,5,0,792
4,13,C,4,0,1272
4,14,A,1,0,488
4,15,C,3,0,712
4,16,A,4,0,487
4,17,A,2,0,887
4,18,C,3,0,527
4,19,A,5,0,495
5,0,C,0,0,999
5,1,N,1,0,791
5,2,C,3,0,663
5,3,P,3,0,960
5,4,C,4,0,920
5,5,P,0,0,632
5,6,C,2,0,480
5,7,N,2,0,640
5,8,A,1,0,785
5,9,N,5,0,735
5,10,A,5,0,616
5,11,N,3,0,744
5,12,A,1,0,496
5,13,N,5,0,672
5,14,A,2,0,472
5,15,N,1,0,616
5,16,A,1,0,496
5,17,N,5,0,400
5,18,A,5,0,464
5,19,N,1,0,448
5,20,A,3,0,408
5,21,P,5,0,688
5,22,C,5,0,640
5,23,N,4,1,2584
5,24,C,2,0,592
5,25,N,5,0,840
5,26,C,5,0,984
5,27,N,1,1,1624
5,28,C,2,0,816
5,29,P,6,1,1448
5,30,C,4,0,616
5,31,N,5,0,1264
5,32,C,1,0,512
5,33,N,3,0,807
5,34,C,4,0,448
5,35,N,0,0,432
5,36,C,0,0,368
5,37,N,3,0,336
5,38,C,4,0,360
5,39,N,4,0,1360
6,0,A,5,0,1080
6,1,N,6,0,1176
6,2,A,2,0,736
6,3,P,2,0,816
6,4,A,5,0,384
6,5,P,6,0,392
6,6,A,3,0,520
6,7,P,4,0,968
6,8,C,4,1,1248
6,9,N,5,0,1160
6,10,C,1,0,896
6,11,P,2,0,848
6,12,C,5,0,640
6,13,N,3,0,656
6,14,C,2,0,424
6,15,N,5,0,1144
6,16,A,5,1,872
6,17,P,1,0,864
6,18,C,0,0,1480
6,19,P,4,1,984
6,20,C,1,0,712
6,21,N,6,0,856
6,22,A,3,0,928
6,23,N,5,1,1408
6,24,A,1,0,1048
6,25,P,1,0,776
6,26,C,3,0,696
6,27,P,6,0,904
6,28,A,1,0,936
6,29,N,2,0,968
6,30,A,3,0,680
6,31,P,6,1,1768
6,32,A,1,0,776
6,33,P,3,0,759
6,34,A,2,1,952
6,35,N,0,0,776
6,36,C,1,0,776
6,37,P,1,0,1064
6,38,C,3,0,624
6,39,N,4,0,696
